Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
,WINSTON V,3.0,23.08%,69.23%,0.0%,0.0%,7.69%,1
,,,,,,,
ELIT-300,,,,,,,
,BRYAN K,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,GREINER K,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ELIV-100,,,,,,,
,ASBERRY E,2.6,40.0%,20.0%,20.0%,0.0%,20.0%,1
,CARDOSO D,3.44,66.67%,22.22%,0.0%,11.11%,0.0%,1
,DAVIS S,2.36,33.9566666667%,18.7233333333%,10.7233333333%,23.93%,12.6633333333%,3
,HARPER K,2.08,8.33%,33.33%,25.0%,25.0%,8.33%,1
,PAYNE G,2.54,38.46%,30.77%,0.0%,7.69%,23.08%,1
,PERLMAN R,2.79,36.54%,30.34%,20.94%,0.0%,12.18%,2
,RAMER M,2.53,17.65%,41.18%,17.65%,23.53%,0.0%,1
,VERNON T,3.0,55.56%,16.67%,11.11%,5.56%,11.11%,1
,WILLAERT A,2.44,15.1133333333%,45.94%,16.4233333333%,12.7366666667%,9.78666666667%,3
,,,,,,,
ELIV-200,,,,,,,
,DAVIS S,2.67,22.22%,38.89%,22.22%,16.67%,0.0%,1
,DZIUBINSKI I,3.16,23.295%,69.035%,7.67%,0.0%,0.0%,2
,FLACY K,2.21,21.43%,14.29%,42.86%,7.14%,14.29%,1
,GREINER K,2.07,6.67%,46.67%,6.67%,26.67%,13.33%,1
,MCINTYRE C,2.47,20.835%,33.33%,26.39%,11.115%,8.335%,2
,STURGEON S,2.41,27.92%,34.09%,13.635%,0.0%,24.35%,2
,VACHTSEVANOU S,2.5,20.5066666667%,43.6366666667%,11.06%,15.91%,8.89%,3
,VERNON T,2.65,23.53%,41.18%,23.53%,0.0%,11.76%,1
,WILLAERT A,2.25,21.21%,37.625%,8.335%,10.1%,22.725%,2
,WINSTON V,3.04,46.875%,31.25%,8.335%,6.25%,7.29%,2
,,,,,,,
ELIV-250,,,,,,,
,PAYNE G,2.73,28.0216666667%,44.78%,10.9183333333%,5.18833333333%,11.0833333333%,6
,PETERS R,2.35,30.0%,30.0%,5.0%,15.0%,20.0%,1
,PULAK S,3.31,36.43%,58.57%,5.0%,0.0%,0.0%,2
,STURGEON S,1.5,0.0%,33.33%,16.67%,16.67%,33.33%,1
,VERNON T,3.3,57.5%,30.0%,2.5%,5.0%,5.0%,2
,,,,,,,
ELIV-300,,,,,,,
,DZIUBINSKI I,2.71,23.75%,55.05%,4.44333333333%,2.22333333333%,14.5333333333%,3
,PULAK S,2.74,34.4222222222%,34.7111111111%,11.8577777778%,8.49666666667%,10.5111111111%,9
,RAGUCCI S,2.75,8.33%,75.0%,0.0%,16.67%,0.0%,1
,ULBRICH M,3.13,43.75%,37.5%,12.5%,0.0%,6.25%,1
,,,,,,,
