Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
,,,,,,,
SOMS-481,,,,,,,
,BOGUE P,3.5,50.0%,50.0%,0.0%,0.0%,0.0%,1
,ARCAK C,3.41,65.2533333333%,21.8066666667%,5.5%,4.83666666667%,2.6%,3
,HUMPHREYS L,2.14,4.76%,23.81%,52.38%,19.05%,0.0%,1
,SULLINS D,3.11,40.74%,40.74%,11.11%,3.7%,3.7%,1
,EDWARDS S,3.38,57.69%,30.77%,7.69%,0.0%,3.85%,1
,BROWN T,3.98,98.335%,0.835%,0.835%,0.0%,0.0%,2
,ONO J,3.19,37.84%,47.3%,10.81%,4.05%,0.0%,1
,RANDOLPH D,3.08,33.33%,41.67%,25.0%,0.0%,0.0%,1
,AUCKERMAN C,3.62,73.08%,15.38%,11.54%,0.0%,0.0%,1
,KALLINA S,3.58,73.08%,11.54%,15.38%,0.0%,0.0%,1
,STRUMINGER R,3.41,52.8%,37.36%,8.99%,0.845%,0.0%,2
,MOONEY K,3.6,69.7166666667%,23.1966666667%,4.74333333333%,2.34%,0.0%,3
,,,,,,,
SOMS-482,,,,,,,
,BOGUE P,3.6,73.41%,17.725%,6.085%,0.0%,2.78%,2
,KALLINA S,3.75,85.0%,5.0%,10.0%,0.0%,0.0%,1
,HUMPHREYS L,3.67,66.67%,33.33%,0.0%,0.0%,0.0%,1
,SULLINS D,3.38,62.5%,25.0%,0.0%,12.5%,0.0%,1
,CHABOT B,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,ALTMAN R,2.88,25.0%,37.5%,37.5%,0.0%,0.0%,1
,EDWARDS S,3.53,66.67%,26.67%,3.33%,0.0%,3.33%,1
,BROWN T,3.89,90.4433333333%,8.22333333333%,1.33333333333%,0.0%,0.0%,3
,ONO J,3.09,44.02%,33.74%,13.675%,3.42%,5.14%,2
,RANDOLPH D,3.25,46.4575%,33.7925%,17.7225%,2.03%,0.0%,4
,AUCKERMAN C,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,ARCAK C,3.51,63.1525%,26.1675%,8.9425%,1.25%,0.49%,4
,STRUMINGER R,3.52,55.4233333333%,41.2433333333%,3.33333333333%,0.0%,0.0%,3
,MOONEY K,3.52,72.3275%,16.3675%,5.4775%,2.65%,3.1725%,4
,CUNNINGHAM M,3.52,54.55%,45.45%,0.0%,0.0%,0.0%,1
,,,,,,,
SOMS-485,,,,,,,
,BROWN T,3.2,80.0%,0.0%,0.0%,0.0%,20.0%,1
,SIMPSON M,3.79,90.428%,5.236%,0.0%,4.038%,0.298%,5
,ARTH L,3.83,92.31%,1.92%,3.85%,0.0%,1.92%,1
,,,,,,,
