Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
,ATHREYA S,2.9,30.0%,45.0%,15.0%,5.0%,5.0%,2
,,,,,,,
ANTH-434,,,,,,,
,WINKING J,2.96,19.79%,56.595%,23.61%,0.0%,0.0%,2
,,,,,,,
ANTH-439,,,,,,,
,ECKERT S,3.44,55.56%,33.33%,11.11%,0.0%,0.0%,1
,,,,,,,
ANTH-440,,,,,,,
,CASTOR N,3.23,35.5566666667%,52.2233333333%,12.2233333333%,0.0%,0.0%,3
,,,,,,,
ANTH-444,,,,,,,
,CARLSON D,2.82,36.36%,45.45%,0.0%,0.0%,18.18%,1
,,,,,,,
ANTH-445,,,,,,,
,CASTOR N,3.27,45.45%,36.36%,18.18%,0.0%,0.0%,1
,,,,,,,
ANTH-447,,,,,,,
,SMITH H,3.13,46.67%,33.33%,13.33%,0.0%,6.67%,1
,,,,,,,
ANTH-461,,,,,,,
,GRAF K,3.22,33.33%,55.56%,11.11%,0.0%,0.0%,1
,,,,,,,
ANTH-484,,,,,,,
,MARINI F,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-485,,,,,,,
,CARLSON D,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,DU B,3.29,71.43%,0.0%,14.29%,14.29%,0.0%,1
,GOEBEL F,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,GRAF K,3.43,42.86%,57.14%,0.0%,0.0%,0.0%,1
,VIEIRA D,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-489,,,,,,,
,ALVARD M,3.5,50.0%,50.0%,0.0%,0.0%,0.0%,1
,CAMPANA L,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,DE R,2.36,18.18%,18.18%,54.55%,0.0%,9.09%,1
,DOSTAL C,3.42,66.67%,16.67%,8.33%,8.33%,0.0%,1
,LYNCH D,3.8,80.0%,20.0%,0.0%,0.0%,0.0%,1
,PULAK C,3.83,83.33%,16.67%,0.0%,0.0%,0.0%,1
,VIEIRA D,3.48,55.17%,37.93%,6.9%,0.0%,0.0%,1
,WACHSMANN S,3.5,70.435%,13.775%,10.525%,5.265%,0.0%,2
,WRIGHT L,3.33,66.67%,16.67%,0.0%,16.67%,0.0%,1
,,,,,,,
ANTH-601,,,,,,,
,DE R,3.6,68.45%,23.215%,8.335%,0.0%,0.0%,2
,,,,,,,
ANTH-602,,,,,,,
,CARLSON D,3.88,87.75%,12.25%,0.0%,0.0%,0.0%,2
,DICKSON D,3.89,88.89%,11.11%,0.0%,0.0%,0.0%,1
,THOMS A,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-603,,,,,,,
,CRISMAN K,3.57,57.14%,42.86%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-604,,,,,,,
,ALVARD M,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,DANNHAEUSER N,3.83,83.33%,16.67%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-605,,,,,,,
,HAMILTON D,3.23,32.8566666667%,57.1433333333%,10.0%,0.0%,0.0%,3
,,,,,,,
ANTH-606,,,,,,,
,HAMILTON D,3.81,81.11%,18.89%,0.0%,0.0%,0.0%,3
,,,,,,,
ANTH-607,,,,,,,
,HAMILTON D,3.8,80.0%,20.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-608,,,,,,,
,WACHSMANN S,3.4,70.0%,0.0%,30.0%,0.0%,0.0%,1
,,,,,,,
ANTH-610,,,,,,,
,CRISMAN K,3.65,65.0%,35.0%,0.0%,0.0%,0.0%,2
,,,,,,,
ANTH-611,,,,,,,
,PULAK C,3.44,50.0%,43.75%,6.25%,0.0%,0.0%,2
,,,,,,,
ANTH-612,,,,,,,
,WACHSMANN S,3.14,42.86%,28.57%,28.57%,0.0%,0.0%,1
,,,,,,,
ANTH-614,,,,,,,
,VIEIRA D,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-615,,,,,,,
,PULAK C,3.63,63.335%,36.665%,0.0%,0.0%,0.0%,2
,,,,,,,
ANTH-616,,,,,,,
,VIEIRA D,3.95,95.0%,5.0%,0.0%,0.0%,0.0%,2
,,,,,,,
ANTH-617,,,,,,,
,SMITH C,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-622,,,,,,,
,GREEN T,3.8,80.0%,20.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-624,,,,,,,
,WATERS M,3.83,83.33%,16.67%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-625,,,,,,,
,DE R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-627,,,,,,,
,WRIGHT L,3.75,75.0%,25.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-628,,,,,,,
,CRISMAN K,3.8,80.0%,20.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-629,,,,,,,
,CRISMAN K,3.4,40.0%,60.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-630,,,,,,,
,ALVARD M,3.25,37.5%,50.0%,12.5%,0.0%,0.0%,1
,,,,,,,
ANTH-633,,,,,,,
,WACHSMANN S,3.6,60.0%,40.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-634,,,,,,,
,BRYANT V,3.89,88.89%,11.11%,0.0%,0.0%,0.0%,2
,,,,,,,
ANTH-636,,,,,,,
,SMITH C,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,,,,,,,
ANTH-637,,,,,,,
,BRYANT V,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-638,,,,,,,
,WRIGHT L,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,,,,,,,
ANTH-639,,,,,,,
,ECKERT S,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-640,,,,,,,
,WERNER C,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-641,,,,,,,
,DU B,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ANTH-642,,,,,,,
,CARLSON D,3.88,88.46%,11.54%,0.0%,0.0%,0.0%,2
,,,,,,,
ANTH-644,,,,,,,
