Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
,KIRKENDALL A,3.04,38.075%,35.385%,22.69%,0.0%,3.845%,2
,LIVESAY H,3.32,52.985%,34.3616666667%,8.42%,0.0%,4.23333333333%,6
,RAMOS L,3.04,39.88%,38.69%,14.285%,0.0%,7.145%,2
,SCHLOSS R,3.06,32.97%,47.8%,15.385%,0.0%,3.845%,2
,SEIPP A,3.32,50.0%,39.285%,7.145%,0.0%,3.57%,2
,SMITH P,3.22,37.36%,47.53%,15.11%,0.0%,0.0%,2
,STARKS E,3.92,92.265%,7.735%,0.0%,0.0%,0.0%,2
,WANG D,3.3,54.2%,25.175%,16.78%,3.845%,0.0%,2
,,,,,,,
HIST-300,,,,,,,
,BROUSSARD A,3.06,27.775%,51.85%,18.515%,1.85%,0.0%,2
,STARKS E,3.54,67.8175%,22.69%,6.6975%,1.0425%,1.7575%,4
,,,,,,,
HIST-301,,,,,,,
,BROUSSARD A,2.88,22.02%,53.77%,18.7%,1.28%,4.22%,2
,STARKS E,3.79,86.935%,8.175%,3.28%,0.0%,1.615%,2
,,,,,,,
HIST-302,,,,,,,
,JOHNSON V,3.0,0.0%,100.0%,0.0%,0.0%,0.0%,1
,,,,,,,
HIST-304,,,,,,,
,ALONZO A,3.46,59.495%,29.19%,10.2%,0.0%,1.11%,2
,,,,,,,
HIST-305,,,,,,,
,ALONZO A,3.76,76.43%,22.7366666667%,0.833333333333%,0.0%,0.0%,3
,HINOJOSA F,3.68,76.97%,17.415%,3.7975%,0.61%,1.205%,4
,,,,,,,
HIST-307,,,,,,,
,BLANTON C,3.27,47.01%,44.54%,2.41%,0.0%,6.04%,2
,HINOJOSA F,3.45,72.41%,13.79%,3.45%,6.9%,3.45%,1
,RAMOS L,3.29,46.655%,37.105%,14.925%,1.315%,0.0%,2
,,,,,,,
HIST-308,,,,,,,
,HUDSON A,2.84,33.1066666667%,39.53%,12.5666666667%,7.81333333333%,6.99%,3
,,,,,,,
HIST-319,,,,,,,
,BLANTON C,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,KAMPHOEFNER W,3.04,17.56%,69.05%,13.395%,0.0%,0.0%,2
,,,,,,,
HIST-320,,,,,,,
,SCHLOSS R,2.8,17.14%,51.43%,28.57%,0.0%,2.86%,1
,,,,,,,
HIST-321,,,,,,,
,BOUTON C,3.57,58.365%,40.285%,1.35%,0.0%,0.0%,2
,,,,,,,
HIST-322,,,,,,,
,BOUTON C,2.85,30.77%,38.46%,15.38%,15.38%,0.0%,1
,,,,,,,
HIST-326,,,,,,,
,HATFIELD A,2.93,26.04%,40.625%,33.335%,0.0%,0.0%,2
,,,,,,,
HIST-330,,,,,,,
,LAKE J,2.48,26.09%,21.74%,34.78%,8.7%,8.7%,1
,,,,,,,
HIST-332,,,,,,,
,PALMER A,3.21,50.0%,31.58%,13.16%,0.0%,5.26%,1
,,,,,,,
HIST-333,,,,,,,
,DUNNING C,3.24,43.47%,43.335%,9.305%,1.25%,2.64%,2
,,,,,,,
HIST-334,,,,,,,
,REESE R,2.09,5.71%,37.14%,28.57%,17.14%,11.43%,1
,RESCH R,2.71,18.1425%,44.0475%,31.4625%,3.335%,3.015%,4
,,,,,,,
HIST-335,,,,,,,
,ADAMS R,2.94,24.3266666667%,46.6833333333%,26.5666666667%,0.0%,2.42333333333%,3
,,,,,,,
HIST-336,,,,,,,
,COOPERSMITH J,2.84,18.28%,51.38%,27.615%,1.565%,1.165%,2
,,,,,,,
HIST-337,,,,,,,
,REESE R,2.86,20.235%,51.59%,23.41%,3.57%,1.19%,2
,,,,,,,
HIST-338,,,,,,,
,DUNNING C,3.37,59.765%,26.68%,5.88%,5.88%,1.785%,2
,,,,,,,
HIST-341,,,,,,,
,HATFIELD A,2.81,23.61%,41.665%,29.165%,2.78%,2.78%,2
,,,,,,,
HIST-342,,,,,,,
,KIRKENDALL A,3.19,29.63%,59.26%,11.11%,0.0%,0.0%,1
,,,,,,,
HIST-343,,,,,,,
,KIRKENDALL A,2.96,19.785%,59.01%,20.015%,0.0%,1.19%,2
,,,,,,,
HIST-344,,,,,,,
,YARAK L,2.64,12.935%,38.11%,48.95%,0.0%,0.0%,2
,,,,,,,
HIST-345,,,,,,,
,YARAK L,2.67,13.35%,52.2233333333%,24.6333333333%,7.40333333333%,2.39333333333%,3
,,,,,,,
HIST-346,,,,,,,
,YARAK L,2.59,12.165%,43.165%,38.5%,4.085%,2.085%,2
,,,,,,,
HIST-347,,,,,,,
,EMRE S,2.91,39.865%,34.31%,11.435%,5.555%,8.825%,2
,,,,,,,
HIST-348,,,,,,,
,YARAK L,2.59,10.26%,43.59%,43.59%,0.0%,2.56%,1
,,,,,,,
HIST-349,,,,,,,
,DROR O,2.5,16.67%,27.78%,50.0%,0.0%,5.56%,1
,,,,,,,
HIST-350,,,,,,,
,DROR O,3.1,38.1%,42.86%,14.29%,0.0%,4.76%,1
,,,,,,,
HIST-351,,,,,,,
,WANG D,3.0,31.25%,50.0%,9.38%,6.25%,3.13%,1
,,,,,,,
HIST-352,,,,,,,
,DROR O,3.14,36.835%,41.97%,19.805%,1.39%,0.0%,2
,,,,,,,
HIST-353,,,,,,,
,HAEFELI E,2.91,13.64%,63.64%,22.73%,0.0%,0.0%,1
,,,,,,,
HIST-354,,,,,,,
,WANG D,3.38,51.565%,37.19%,8.44%,2.815%,0.0%,2
,,,,,,,
HIST-355,,,,,,,
,WANG D,3.09,34.38%,53.13%,6.25%,0.0%,6.25%,1
,,,,,,,
HIST-356,,,,,,,
,KIM H,3.24,43.7533333333%,38.9633333333%,14.4266666667%,2.85666666667%,0.0%,3
,,,,,,,
HIST-357,,,,,,,
,JOHNSON V,3.28,39.6%,53.26%,4.76%,0.0%,2.38%,2
,,,,,,,
HIST-358,,,,,,,
,WANG D,3.25,33.33%,58.33%,8.33%,0.0%,0.0%,1
,,,,,,,
HIST-359,,,,,,,
,DUNLAP T,2.4,12.06%,47.76%,20.605%,7.515%,12.06%,2
,,,,,,,
HIST-360,,,,,,,
,COOPERSMITH J,2.62,18.92%,45.95%,24.32%,0.0%,10.81%,1
,,,,,,,
HIST-361,,,,,,,
,COOPERSMITH J,3.01,24.665%,54.865%,19.005%,0.0%,1.47%,2
,,,,,,,
HIST-362,,,,,,,
,DI P,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,STRANGES A,3.6,70.27%,24.32%,2.7%,0.0%,2.7%,1
,,,,,,,
HIST-363,,,,,,,
,STRANGES A,3.5,57.895%,34.475%,7.63%,0.0%,0.0%,2
,,,,,,,
HIST-364,,,,,,,
,COOPERSMITH J,2.78,23.11%,47.07%,20.11%,4.285%,5.42%,2
,,,,,,,
HIST-365,,,,,,,
,HAEFELI E,3.11,20.8366666667%,69.81%,9.35333333333%,0.0%,0.0%,3
,,,,,,,
HIST-366,,,,,,,
,HINOJOSA F,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
HIST-367,,,,,,,
,HATFIELD A,2.75,28.57%,39.29%,21.43%,0.0%,10.71%,1
,,,,,,,
HIST-368,,,,,,,
,BRADFORD J,2.49,15.26%,34.37%,42.52%,0.0%,7.85%,2
,BROOKS C,2.95,28.0225%,47.62%,18.14%,3.7025%,2.515%,4
,,,,,,,
HIST-369,,,,,,,
,BROOKS C,2.93,25.17%,57.935%,8.14%,2.325%,6.43%,2
,,,,,,,
HIST-370,,,,,,,
,DAWSON J,2.86,25.58%,44.19%,25.58%,0.0%,4.65%,1
,FOOTE L,2.65,22.765%,35.15%,32.205%,3.66%,6.225%,2
,KAMPHOEFNER W,2.95,22.765%,53.865%,19.02%,4.35%,0.0%,2
,,,,,,,
HIST-371,,,,,,,
,UNTERMAN K,3.43,48.92%,45.58%,5.5%,0.0%,0.0%,3
,,,,,,,
HIST-372,,,,,,,
,ALPERNTARLOW S,3.07,30.64%,47.5%,20.86%,0.0%,1.0%,4
,,,,,,,
HIST-373,,,,,,,
,BLANTON C,3.52,56.67%,38.55%,4.785%,0.0%,0.0%,2
,,,,,,,
HIST-374,,,,,,,
,ANDERSON T,2.67,22.2325%,33.7425%,35.445%,6.305%,2.275%,4
,WOOD J,3.21,35.8333333333%,52.9733333333%,8.85333333333%,0.74%,1.59333333333%,3
,,,,,,,
HIST-376,,,,,,,
,STRANGES A,3.53,67.3566666667%,27.01%,1.15%,0.0%,4.48333333333%,3
,,,,,,,
HIST-401,,,,,,,
,YARAK L,1.93,13.33%,20.0%,33.33%,13.33%,20.0%,1
,,,,,,,
HIST-402,,,,,,,
,KIM H,3.22,30.56%,61.11%,8.33%,0.0%,0.0%,1
,,,,,,,
HIST-403,,,,,,,
,KRAMMER A,2.91,19.38%,55.8166666667%,22.4833333333%,0.776666666667%,1.55333333333%,3
,,,,,,,
HIST-404,,,,,,,
,KIM H,3.24,54.05%,32.43%,5.41%,0.0%,8.11%,1
,,,,,,,
HIST-405,,,,,,,
,SEIPP A,3.08,33.33%,41.67%,25.0%,0.0%,0.0%,1
,,,,,,,
HIST-406,,,,,,,
,SCHLOSS R,3.08,34.57%,43.295%,19.7%,0.0%,2.44%,2
,,,,,,,
HIST-410,,,,,,,
,DUNNING C,3.16,42.8266666667%,37.83%,14.0933333333%,2.81666666667%,2.44%,3
,,,,,,,
HIST-411,,,,,,,
,REESE R,2.42,10.46%,40.145%,36.54%,6.25%,6.615%,2
,,,,,,,
HIST-412,,,,,,,
,REESE R,2.56,8.955%,47.59%,37.385%,3.03%,3.03%,2
,,,,,,,
HIST-416,,,,,,,
,BLANTON C,3.25,50.0%,37.5%,6.25%,0.0%,6.25%,1
,BUENGER W,3.1,35.34%,52.255%,4.76%,2.63%,5.01%,2
,,,,,,,
HIST-418,,,,,,,
,PALMER A,3.86,85.71%,14.29%,0.0%,0.0%,0.0%,1
,,,,,,,
HIST-419,,,,,,,
,PALMER A,3.1,52.63%,26.32%,10.53%,0.0%,10.53%,1
,,,,,,,
HIST-420,,,,,,,
,RESCH R,3.13,33.89%,45.555%,20.555%,0.0%,0.0%,2
,,,,,,,
HIST-421,,,,,,,
,RESCH R,3.07,28.2166666667%,56.8533333333%,10.7433333333%,1.96%,2.22333333333%,3
,,,,,,,
HIST-426,,,,,,,
,KONRAD C,3.47,68.235%,15.88%,13.38%,0.0%,2.5%,2
,,,,,,,
HIST-427,,,,,,,
,KONRAD C,3.29,59.06%,21.93%,10.675%,5.555%,2.78%,2
,,,,,,,
HIST-428,,,,,,,
,KONRAD C,3.36,63.64%,18.18%,13.64%,0.0%,4.55%,1
,SCHWARTZ D,3.0,36.84%,42.11%,10.53%,5.26%,5.26%,1
,,,,,,,
HIST-429,,,,,,,
,KONRAD C,3.05,36.84%,36.84%,21.05%,5.26%,0.0%,1
,SCHWARTZ D,2.84,20.395%,61.84%,5.265%,6.25%,6.25%,2
,,,,,,,
HIST-431,,,,,,,
,HUDSON D,3.03,35.29%,38.24%,23.53%,0.0%,2.94%,1
,,,,,,,
HIST-432,,,,,,,
,HUDSON D,3.03,44.445%,28.3%,18.925%,2.78%,5.555%,2
,,,,,,,
HIST-435,,,,,,,
,ROSENHEIM J,3.4,60.0%,30.0%,5.0%,0.0%,5.0%,1
,,,,,,,
HIST-436,,,,,,,
,ROSENHEIM J,3.25,38.71%,47.79%,13.505%,0.0%,0.0%,2
,,,,,,,
HIST-437,,,,,,,
,ROSENHEIM J,3.61,65.865%,29.085%,5.05%,0.0%,0.0%,2
,,,,,,,
HIST-438,,,,,,,
,ADAMS R,3.18,36.185%,49.805%,11.515%,1.25%,1.25%,2
,,,,,,,
HIST-439,,,,,,,
,ADAMS R,3.1,31.58%,52.63%,10.53%,5.26%,0.0%,1
,HUDSON D,3.11,40.04%,37.61%,18.4375%,1.5625%,2.3525%,4
,,,,,,,
HIST-440,,,,,,,
,KIRKENDALL A,2.65,15.0%,60.0%,10.0%,5.0%,10.0%,1
,,,,,,,
HIST-441,,,,,,,
,HERNANDEZ S,3.71,79.06%,17.095%,0.0%,3.845%,0.0%,2
,,,,,,,
HIST-442,,,,,,,
,BRADFORD J,2.8,23.205%,41.665%,31.28%,0.0%,3.845%,2
,REESE R,2.68,11.6666666667%,55.0%,26.6666666667%,3.33333333333%,3.33333333333%,3
,,,,,,,
HIST-443,,,,,,,
,DAWSON J,2.88,32.89%,32.465%,27.06%,5.145%,2.44%,2
,,,,,,,
HIST-445,,,,,,,
,LINN B,2.67,16.67%,50.0%,20.83%,8.33%,4.17%,1
,,,,,,,
HIST-447,,,,,,,
,BROOKS C,2.76,22.635%,38.48%,31.34%,7.545%,0.0%,2
,,,,,,,
HIST-451,,,,,,,
,BUENGER W,3.2,41.575%,44.505%,10.07%,0.0%,3.845%,2
,,,,,,,
HIST-453,,,,,,,
,LENIHAN J,2.58,14.715%,51.315%,16.985%,11.72%,5.265%,2
,ROULEAU B,3.25,34.305%,56.775%,8.925%,0.0%,0.0%,2
,,,,,,,
HIST-455,,,,,,,
,KAMPHOEFNER W,2.13,0.0%,37.5%,50.0%,0.0%,12.5%,1
,,,,,,,
HIST-459,,,,,,,
,LENIHAN J,2.86,27.92%,41.885%,20.89%,6.925%,2.38%,2
,,,,,,,
HIST-460,,,,,,,
,LENIHAN J,2.59,14.03%,48.1575%,26.9375%,4.545%,6.33%,4
,,,,,,,
HIST-461,,,,,,,
,ALPERNTARLOW S,3.13,37.2175%,40.4875%,19.955%,2.3375%,0.0%,4
,,,,,,,
HIST-462,,,,,,,
,HOLZWEISS R,3.63,71.05%,23.68%,2.63%,2.63%,0.0%,1
,ROULEAU B,3.36,38.73%,59.7533333333%,0.756666666667%,0.0%,0.756666666667%,3
,,,,,,,
HIST-463,,,,,,,
,ANDERSON T,2.69,16.67%,44.44%,30.56%,8.33%,0.0%,1
,PARKER J,2.65,20.73%,43.77%,21.57%,7.42%,6.51%,2
,,,,,,,
HIST-464,,,,,,,
,BACH D,2.52,12.0%,44.0%,36.0%,0.0%,8.0%,1
,KIRKENDALL A,2.91,20.315%,54.69%,21.88%,1.565%,1.565%,2
,,,,,,,
HIST-469,,,,,,,
,BOUTON C,3.38,56.905%,27.62%,13.81%,0.0%,1.665%,2
,WOOD J,3.17,44.925%,35.265%,14.855%,2.175%,2.78%,2
,,,,,,,
HIST-470,,,,,,,
,LIVESAY H,3.5,70.0%,20.0%,5.0%,0.0%,5.0%,1
,,,,,,,
HIST-473,,,,,,,
,ALPERNTARLOW S,2.94,17.725%,61.5625%,19.0425%,0.0%,1.6675%,4
,,,,,,,
HIST-476,,,,,,,
,BACH D,2.5,28.57%,21.43%,35.71%,0.0%,14.29%,1
,ROSENHEIM J,3.46,54.398%,39.936%,4.388%,0.0%,1.278%,5
,,,,,,,
HIST-477,,,,,,,
,BOUTON C,3.59,61.54%,35.68%,2.78%,0.0%,0.0%,2
,,,,,,,
HIST-481,,,,,,,
,ALONZO A,3.35,38.35%,58.525%,3.125%,0.0%,0.0%,2
,ALPERNTARLOW S,3.14,35.715%,46.43%,14.29%,3.57%,0.0%,2
,BLANTON C,3.17,39.23%,46.41%,10.51%,0.0%,3.845%,2
,BOUTON C,3.4,40.0%,60.0%,0.0%,0.0%,0.0%,1
,BROOKS C,2.45,0.0%,72.73%,0.0%,27.27%,0.0%,1
,COOPERSMITH J,2.8,25.0275%,42.0075%,25.255%,3.125%,4.5825%,4
,DAWSON J,3.13,44.52%,24.285%,31.19%,0.0%,0.0%,2
,DUNLAP T,2.51,19.285%,29.285%,37.855%,10.0%,3.57%,2
,EMRE S,3.19,43.75%,43.75%,6.25%,0.0%,6.25%,2
,FOOTE L,2.25,8.33%,50.0%,16.67%,8.33%,16.67%,1
,HINOJOSA F,3.45,72.73%,9.09%,9.09%,9.09%,0.0%,1
,HUDSON A,2.64,25.755%,30.3%,35.225%,0.0%,8.71%,2
,KIM H,2.64,27.27%,36.36%,18.18%,9.09%,9.09%,1
,KRAMMER A,3.43,50.0%,42.86%,7.14%,0.0%,0.0%,1
,LINN B,2.67,20.63%,42.66%,28.32%,0.0%,8.39%,2
,PALMER A,3.78,77.78%,22.22%,0.0%,0.0%,0.0%,1
,PARKER J,2.93,35.71%,35.71%,21.43%,0.0%,7.14%,1
,RAMOS L,2.93,31.43%,40.0%,21.9066666667%,3.33333333333%,3.33333333333%,3
,REESE R,3.08,35.12%,49.405%,7.735%,4.165%,3.57%,2
,ROSENHEIM J,3.7,70.0%,30.0%,0.0%,0.0%,0.0%,1
,ROULEAU B,3.41,44.52%,51.905%,3.57%,0.0%,0.0%,2
,SCHLOSS R,3.17,33.33%,50.0%,16.67%,0.0%,0.0%,1
,SCHWARTZ D,2.92,54.17%,8.335%,20.83%,8.335%,8.335%,2
,SEIPP A,3.2,46.67%,33.33%,13.33%,6.67%,0.0%,1
,SMITH P,3.13,40.0%,33.33%,26.67%,0.0%,0.0%,1
,STARKS E,3.93,93.33%,6.67%,0.0%,0.0%,0.0%,1
,STRANGES A,3.27,45.71%,45.71%,2.86%,0.0%,5.71%,1
,UNTERMAN K,3.28,36.39%,59.3066666667%,2.08333333333%,0.0%,2.22333333333%,3
,VAN D,2.82,54.55%,9.09%,18.18%,0.0%,18.18%,1
,WANG D,3.32,46.43%,39.285%,14.285%,0.0%,0.0%,2
,WOOD J,2.9,28.3333333333%,43.89%,19.0266666667%,6.66666666667%,2.08333333333%,3
,YARAK L,2.83,8.33%,66.67%,25.0%,0.0%,0.0%,1
,,,,,,,
HIST-485,,,,,,,
,KIRKENDALL A,3.0,33.33%,33.33%,33.33%,0.0%,0.0%,1
,WANG D,3.38,50.0%,37.5%,12.5%,0.0%,0.0%,1
,,,,,,,
HIST-489,,,,,,,
,CURTIS J,3.93,96.2133333333%,2.27333333333%,0.756666666667%,0.0%,0.756666666667%,3
,,,,,,,
HIST-491,,,,,,,
,SCHWARTZ D,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
HIST-601,,,,,,,
,HATFIELD A,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
HIST-613,,,,,,,
,PARKER J,3.56,55.56%,44.44%,0.0%,0.0%,0.0%,1
,,,,,,,
HIST-617,,,,,,,
,KIRKENDALL A,3.29,28.57%,71.43%,0.0%,0.0%,0.0%,1
,,,,,,,
HIST-623,,,,,,,
,ANDERSON T,3.33,66.67%,22.22%,0.0%,0.0%,11.11%,1
,,,,,,,
HIST-624,,,,,,,
,BUENGER W,3.6,60.0%,40.0%,0.0%,0.0%,0.0%,1
,HUDSON A,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
HIST-625,,,,,,,
,BLANTON C,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,BROUSSARD A,3.8,80.0%,20.0%,0.0%,0.0%,0.0%,1
,HUDSON A,3.75,75.0%,25.0%,0.0%,0.0%,0.0%,1
,,,,,,,
HIST-628,,,,,,,
,BLANTON C,3.7,70.0%,30.0%,0.0%,0.0%,0.0%,1
,HUDSON A,3.64,63.64%,36.36%,0.0%,0.0%,0.0%,1
,KIRKENDALL A,3.45,45.45%,54.55%,0.0%,0.0%,0.0%,1
,,,,,,,
HIST-629,,,,,,,
,ADAMS R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
HIST-631,,,,,,,
,KAMPHOEFNER W,3.81,80.715%,19.285%,0.0%,0.0%,0.0%,2
,ROULEAU B,3.89,88.89%,11.11%,0.0%,0.0%,0.0%,1
,,,,,,,
HIST-632,,,,,,,
,COBBS E,3.5,50.0%,50.0%,0.0%,0.0%,0.0%,1
,PARKER J,3.35,53.57%,40.18%,0.0%,0.0%,6.25%,2
,UNTERMAN K,3.8,80.0%,20.0%,0.0%,0.0%,0.0%,1
,,,,,,,
HIST-640,,,,,,,
,HAEFELI E,3.67,66.67%,33.33%,0.0%,0.0%,0.0%,1
,HATFIELD A,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
HIST-641,,,,,,,
,BOUTON C,3.67,83.33%,0.0%,16.67%,0.0%,0.0%,1
,HAEFELI E,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
HIST-643,,,,,,,
,DUNNING C,3.38,50.0%,37.5%,12.5%,0.0%,0.0%,1
,ROSENHEIM J,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
HIST-644,,,,,,,
,SCHLOSS R,3.72,72.225%,27.775%,0.0%,0.0%,0.0%,2
,,,,,,,
HIST-645,,,,,,,
,DAWSON J,3.75,75.0%,25.0%,0.0%,0.0%,0.0%,1
,FOOTE L,3.77,76.92%,23.08%,0.0%,0.0%,0.0%,1
,REESE R,3.0,42.86%,42.86%,0.0%,0.0%,14.29%,1
,,,,,,,
HIST-646,,,,,,,
,FOOTE L,3.89,88.89%,11.11%,0.0%,0.0%,0.0%,1
,LINN B,3.56,55.56%,44.44%,0.0%,0.0%,0.0%,2
,,,,,,,
HIST-648,,,,,,,
,REESE R,2.8,20.0%,40.0%,40.0%,0.0%,0.0%,1
,SEIPP A,3.79,79.165%,20.835%,0.0%,0.0%,0.0%,2
,,,,,,,
HIST-666,,,,,,,
,COOPERSMITH J,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
HIST-674,,,,,,,
,HINOJOSA F,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
HIST-675,,,,,,,
,HERNANDEZ S,3.5,87.5%,0.0%,0.0%,0.0%,12.5%,1
,,,,,,,
HIST-677,,,,,,,
,ADAMS R,3.4,40.0%,60.0%,0.0%,0.0%,0.0%,1
,,,,,,,
HIST-678,,,,,,,
,BUENGER W,3.63,62.5%,37.5%,0.0%,0.0%,0.0%,1
,HINOJOSA F,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
HUMA-211,,,,,,,
,LAMOREAUX J,3.27,40.0%,50.0%,7.5%,2.5%,0.0%,2
,STADELMANN R,3.05,40.91%,27.27%,27.27%,4.55%,0.0%,1
,,,,,,,
HUMA-213,,,,,,,
,LAMOREAUX J,3.35,56.7466666667%,24.2066666667%,17.81%,0.0%,1.23333333333%,3
,STADELMANN R,3.13,34.78%,43.48%,21.74%,0.0%,0.0%,1
,,,,,,,
HUMA-303,,,,,,,
,LAMOREAUX J,3.38,57.8%,26.77%,12.8066666667%,1.11%,1.51666666667%,3
,STADELMANN R,3.3,43.48%,43.48%,13.04%,0.0%,0.0%,1
,,,,,,,
HUMA-304,,,,,,,
,RAYMOND D,3.35,52.965%,33.695%,11.17%,0.0%,2.175%,2
,STADELMANN R,3.31,41.38%,48.28%,10.34%,0.0%,0.0%,1
,,,,,,,
INTS-201,,,,,,,
,CARLEY R,3.68,76.4025%,18.08%,3.1775%,1.4825%,0.8525%,4
,HANNAFORD D,3.63,69.7266666667%,25.1233333333%,3.81666666667%,0.506666666667%,0.826666666667%,3
,HARRIS S,3.29,48.89%,34.44%,14.44%,1.11%,1.11%,1
,,,,,,,
INTS-205,,,,,,,
,CERRATO M,3.58,73.53%,17.65%,4.62%,1.68%,2.52%,1
,HANNAFORD D,3.48,74.62%,11.68%,6.6%,1.52%,5.58%,1
,KHAZAAL N,3.5,74.8225%,12.5925%,5.3975%,2.495%,4.6925%,4
,ROSENTHAL A,3.6,75.65%,13.31%,8.12%,1.62%,1.3%,1
,SHANDLEY R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,,,,,,,
INTS-211,,,,,,,
,CERRATO M,3.0,36.36%,27.27%,36.36%,0.0%,0.0%,1
,,,,,,,
INTS-251,,,,,,,
,KARASIPAHI S,3.11,35.95%,45.95%,13.095%,3.335%,1.665%,2
,,,,,,,
INTS-285,,,,,,,
,AYARI S,3.91,95.65%,0.0%,4.35%,0.0%,0.0%,1
,KARASIPAHI S,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,SHANDLEY R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
INTS-289,,,,,,,
,CARLEY R,3.51,59.79%,36.575%,0.0%,1.85%,1.785%,2
,KARASIPAHI S,3.25,45.105%,41.255%,9.09%,2.275%,2.275%,2
,,,,,,,
INTS-301,,,,,,,
,KARASIPAHI S,2.92,30.0%,40.0%,22.5%,7.5%,0.0%,1
,,,,,,,
INTS-321,,,,,,,
,KARASIPAHI S,3.16,42.415%,34.085%,20.64%,2.855%,0.0%,2
,,,,,,,
INTS-401,,,,,,,
,COOKE O,3.5,50.0%,50.0%,0.0%,0.0%,0.0%,1
,HAWTHORNE M,2.76,20.0%,48.0%,24.0%,4.0%,4.0%,1
,,,,,,,
INTS-403,,,,,,,
,CARLEY R,3.37,50.49%,40.04%,7.545%,0.0%,1.925%,2
,CERRATO M,3.25,48.94%,36.17%,10.64%,0.0%,4.26%,1
,SCHOOLCRAFT R,3.67,70.275%,26.065%,3.66%,0.0%,0.0%,2
,,,,,,,
INTS-405,,,,,,,
,BRACHER N,3.43,46.2133333333%,52.34%,0.723333333333%,0.0%,0.723333333333%,3
,SHANDLEY R,2.84,25.0%,50.0%,15.625%,3.125%,6.25%,2
,,,,,,,
INTS-407,,,,,,,
,BRACHER N,3.44,49.545%,46.455%,2.0%,2.0%,0.0%,2
,LARSON R,3.23,47.8266666667%,33.6366666667%,15.0366666667%,0.723333333333%,2.77666666667%,3
,PASSMORE A,3.7,69.57%,30.43%,0.0%,0.0%,0.0%,1
,,,,,,,
INTS-409,,,,,,,
,CERRATO M,3.36,50.0%,38.0%,10.0%,2.0%,0.0%,1
,,,,,,,
INTS-410,,,,,,,
,HAWTHORNE M,2.83,30.43%,39.13%,21.74%,0.0%,8.7%,1
,LEI J,3.48,48.0%,52.0%,0.0%,0.0%,0.0%,1
,,,,,,,
INTS-481,,,,,,,
,CARLEY R,3.26,25.93%,74.07%,0.0%,0.0%,0.0%,1
,CECCHINI F,3.76,76.0%,24.0%,0.0%,0.0%,0.0%,1
,CHROUST D,3.45,60.0%,35.0%,0.0%,0.0%,5.0%,1
,COOKE L,3.42,43.91%,54.165%,1.925%,0.0%,0.0%,2
,DENG H,3.58,70.83%,16.67%,12.5%,0.0%,0.0%,1
,GOLSAN R,3.69,72.48%,23.6733333333%,3.84666666667%,0.0%,0.0%,3
,HANNAFORD D,3.56,62.3366666667%,33.24%,2.97666666667%,1.45%,0.0%,3
,HAWTHORNE M,3.25,35.575%,54.325%,10.095%,0.0%,0.0%,2
,ILLBRUCK H,3.81,81.25%,18.75%,0.0%,0.0%,0.0%,1
,KARASIPAHI S,3.28,47.95%,36.596%,11.526%,3.094%,0.834%,5
,LARSON R,3.39,52.17%,34.78%,13.04%,0.0%,0.0%,1
,MARCHESINI M,3.05,50.0%,31.82%,4.55%,0.0%,13.64%,1
,MOREIRAS A,3.88,87.5%,12.5%,0.0%,0.0%,0.0%,1
,PASSMORE A,3.61,66.635%,29.365%,2.0%,2.0%,0.0%,2
,RICH E,3.57,65.415%,26.415%,8.165%,0.0%,0.0%,2
,ROSENTHAL A,3.71,75.0%,20.83%,4.17%,0.0%,0.0%,1
,,,,,,,
INTS-485,,,,,,,
,TCHAKERIAN V,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
INTS-489,,,,,,,
,CARLEY R,3.77,82.87%,15.275%,0.0%,0.0%,1.85%,2
,GARRITANO C,3.56,62.5%,31.25%,6.25%,0.0%,0.0%,1
,HARRIS S,3.08,50.0%,30.0%,7.5%,2.5%,10.0%,1
,KARASIPAHI S,3.66,70.74%,24.715%,4.545%,0.0%,0.0%,2
,,,,,,,
INTS-491,,,,,,,
,CICCOLELLA F,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ITAL-101,,,,,,,
,CECCHINI F,3.17,34.52%,51.485%,11.015%,2.085%,0.895%,2
