Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
,AURISPA B,2.2,16.675%,27.57%,27.94%,13.55%,14.265%,2
,AUSTIN A,2.68,30.135%,31.36%,22.595%,9.6%,6.31%,2
,AVSEC S,2.58,21.74%,34.78%,32.61%,5.43%,5.43%,1
,BELMONTE A,2.19,16.25%,26.3266666667%,26.26%,17.59%,13.58%,3
,BRANNAN M,2.67,19.05%,42.86%,28.57%,4.76%,4.76%,1
,DAFNIS N,2.68,28.05%,34.15%,23.17%,7.32%,7.32%,1
,DEWOLFF T,2.15,13.89%,28.555%,28.11%,16.945%,12.5%,2
,HARRIS I,2.42,16.76%,34.68%,26.59%,13.87%,8.09%,1
,KAHLIG J,2.2,18.665%,28.42%,23.27%,17.87%,11.78%,2
,KIM J,2.87,32.628%,35.502%,21.438%,6.696%,3.736%,5
,KIRAL E,2.42,14.62%,32.16%,39.18%,9.36%,4.68%,1
,LAHODNY G,2.27,13.68%,28.42%,32.63%,16.84%,8.42%,1
,LAMBY P,2.54,21.35%,28.09%,37.08%,10.11%,3.37%,1
,LARIOS A,2.71,29.76%,33.33%,19.05%,9.52%,8.33%,1
,LEE S,2.65,27.6666666667%,30.09%,25.69%,11.42%,5.13333333333%,3
,LEWIS J,2.25,17.535%,29.1725%,24.62%,16.87%,11.8%,4
,LOZOVSKIY A,2.01,12.67%,24.05%,31.29%,18.01%,13.98%,2
,LYNCH B,2.48,24.24%,30.3%,15.15%,15.15%,15.15%,1
,MANUEL D,2.13,7.69%,33.73%,28.99%,21.3%,8.28%,1
,ONICA C,2.43,23.17%,25.61%,26.83%,18.29%,6.1%,1
,PEARLSTEIN R,2.07,10.05%,25.0466666667%,36.22%,20.41%,8.27333333333%,3
,PLAVNIK J,2.36,23.78%,26.57%,21.68%,16.78%,11.19%,1
,ROQUE S,2.07,12.21%,25.76%,33.165%,14.845%,14.015%,2
,SENGUPTA S,2.38,18.9933333333%,28.75%,32.0266666667%,13.11%,7.12%,3
,SHATALOV O,2.33,23.26%,25.58%,25.58%,13.95%,11.63%,1
,SHI K,2.48,16.9166666667%,28.6866666667%,37.4966666667%,7.29333333333%,9.6%,3
,SUKHTAYEV A,2.62,22.165%,35.11%,27.49%,10.85%,4.39%,2
,TAKHIROV A,2.2,15.85%,25.61%,29.27%,15.85%,13.41%,1
,TOMAS I,1.84,9.075%,21.625%,31.18%,17.975%,20.15%,2
,VALETTAS P,2.21,5.61%,37.67%,35.99%,15.675%,5.055%,2
,WANG K,2.67,34.29%,24.29%,25.71%,10.0%,5.71%,1
,WHITFIELD J,2.78,32.12%,32.75%,20.485%,10.53%,4.12%,2
,YANG R,2.68,22.22%,38.89%,27.78%,11.11%,0.0%,1
,YASSKIN P,2.94,37.12%,31.82%,15.91%,9.85%,5.3%,1
,,,,,,,
MATH-152,,,,,,,
,AURISPA B,2.68,30.5933333333%,29.0666666667%,25.31%,9.25%,5.77333333333%,3
,AUSTIN A,2.71,27.7666666667%,33.1366666667%,25.3866666667%,8.86%,4.85%,3
,BELMONTE A,2.73,28.57%,29.67%,27.47%,12.09%,2.2%,1
,BENLI M,2.85,28.77%,41.1%,19.18%,9.59%,1.37%,1
,ERDELYI T,2.35,19.83%,27.8775%,26.2675%,18.6375%,7.3875%,4
,GUO Y,2.12,18.12%,26.09%,23.19%,15.94%,16.67%,1
,GUSTAFSON R,2.81,31.21%,34.89%,24.0%,4.495%,5.41%,2
,IKENMEYER C,2.51,21.23%,32.88%,30.14%,9.59%,6.16%,1
,KAHLIG J,2.3,19.9933333333%,28.65%,24.85%,14.6133333333%,11.8866666667%,3
,KORDEK K,2.5,12.9%,40.32%,35.48%,6.45%,4.84%,1
,LAHODNY G,2.2,19.79%,29.17%,20.83%,13.54%,16.67%,1
,LEWIS J,2.3,17.3975%,25.1775%,35.0375%,12.85%,9.5375%,4
,LIANG C,2.49,19.1%,32.0833333333%,31.9666666667%,12.35%,4.5%,3
,LINHART J,2.61,33.33%,22.22%,23.15%,12.96%,8.33%,1
,LYNCH B,2.69,25.81%,37.3%,21.88%,9.915%,5.1%,2
,MANUEL D,2.72,30.72%,31.37%,22.88%,7.84%,7.19%,1
,ONEILL C,2.53,17.15%,37.24%,31.78%,9.285%,4.545%,2
,PEARLSTEIN R,2.2,17.06%,22.785%,31.745%,16.455%,11.955%,2
,POLLOCK S,2.35,23.03%,26.67%,27.88%,10.91%,11.52%,1
,REIHANI K,2.58,20.9%,36.07%,25.82%,11.89%,5.33%,1
,ROQUE S,2.43,22.6433333333%,27.5633333333%,31.6833333333%,9.24333333333%,8.86666666667%,3
,SAROGLOU C,2.74,32.1433333333%,27.5433333333%,25.21%,11.91%,3.19%,3
,SENGUPTA S,2.56,25.885%,29.3325%,28.6325%,9.6025%,6.545%,4
,SHI K,1.96,2.0%,18.0%,52.0%,24.0%,4.0%,1
,VOROBETS M,2.65,27.0525%,31.6075%,25.5925%,11.66%,4.0875%,4
,WANG K,2.65,20.0%,41.54%,24.62%,12.31%,1.54%,1
,WHITE J,2.75,27.33%,34.67%,24.0%,10.0%,4.0%,1
,WILLIAMS J,2.53,13.95%,44.19%,29.07%,10.47%,2.33%,1
,YANG H,2.44,25.97%,19.48%,24.68%,22.08%,7.79%,1
,YASSKIN P,3.07,41.555%,34.45%,14.91%,5.38%,3.71%,2
,ZEYTUNCU Y,2.67,28.42%,35.79%,16.84%,12.63%,6.32%,1
,,,,,,,
MATH-166,,,,,,,
,ARORA R,2.82,29.5366666667%,36.4466666667%,22.27%,9.83%,1.92333333333%,3
,CARROLL D,3.12,45.68%,33.33%,12.35%,4.94%,3.7%,1
,CARTER T,2.75,34.18%,32.91%,15.19%,8.86%,8.86%,1
,DUTTA S,2.77,32.08%,30.19%,24.53%,9.43%,3.77%,1
,EPSTEIN J,3.37,47.37%,42.11%,10.53%,0.0%,0.0%,1
,FARNSWORTH C,2.47,12.24%,46.94%,22.45%,12.24%,6.12%,1
,GIN C,2.7,29.67%,31.87%,21.98%,12.09%,4.4%,1
,GOLDSMITH A,2.82,23.33%,46.67%,22.22%,4.44%,3.33%,1
,KAHLIG J,2.4,20.73%,34.15%,19.51%,15.85%,9.76%,1
,KESSLER J,2.71,22.8825%,37.0725%,27.5825%,8.145%,4.3175%,4
,KLEIN G,2.37,16.38%,34.48%,27.59%,13.79%,7.76%,1
,LAN R,2.71,30.95%,26.19%,29.76%,9.52%,3.57%,1
,LAUREN G,2.46,7.25%,47.83%,30.43%,13.04%,1.45%,1
,LIU W,2.64,23.81%,38.1%,19.05%,16.67%,2.38%,1
,MANUEL D,2.58,20.795%,35.85%,27.525%,12.16%,3.67%,2
,NOLES J,2.46,15.79%,38.16%,27.63%,13.16%,5.26%,1
,ONICA C,2.39,16.36%,34.55%,28.48%,13.33%,7.27%,1
,RAINONE T,2.59,26.76%,33.8%,16.9%,16.9%,5.63%,1
,ROWE S,3.06,40.23%,35.63%,14.94%,8.05%,1.15%,1
,TIAN J,2.25,16.07%,30.36%,23.21%,23.21%,7.14%,1
,WILLIAMS R,2.95,37.7%,36.07%,13.11%,9.84%,3.28%,1
,ZHOU Z,2.7,29.03%,31.18%,23.66%,12.9%,3.23%,1
,,,,,,,
MATH-167,,,,,,,
,ARORA R,2.67,33.105%,26.58%,20.585%,15.115%,4.615%,2
,BARRERA R,2.93,33.33%,36.67%,23.33%,3.33%,3.33%,1
,BOLLINGER K,2.7,23.96%,39.75%,23.325%,9.13%,3.835%,2
,CARTER T,2.55,19.3%,37.4833333333%,26.64%,12.39%,4.18666666667%,3
,EPSTEIN J,2.49,16.175%,34.1%,34.88%,12.04%,2.805%,2
,GHOSH A,2.43,13.93%,36.89%,31.97%,10.66%,6.56%,1
,KLEIN G,2.27,8.11%,37.84%,35.14%,10.81%,8.11%,1
,ONICA C,2.14,10.785%,31.61%,29.73%,19.25%,8.625%,2
,PHILLIPSON K,2.7,23.91%,36.96%,26.09%,10.87%,2.17%,1
,PILANT M,2.41,12.8%,38.41%,30.49%,13.41%,4.88%,1
,ROQUE S,2.81,18.75%,43.75%,25.0%,10.42%,2.08%,1
,SAMART D,2.52,20.0%,29.41%,34.12%,15.29%,1.18%,1
,SCARBOROUGH S,2.34,15.555%,34.125%,26.825%,15.315%,8.18%,2
,,,,,,,
MATH-170,,,,,,,
,STECHER M,3.89,92.7042857143%,4.77571428571%,1.41428571429%,0.311428571429%,0.791428571429%,7
,,,,,,,
MATH-171,,,,,,,
,AURISPA B,2.41,25.64%,20.51%,28.21%,20.51%,5.13%,1
,DYKEMA K,1.48,9.52%,14.29%,23.81%,19.05%,33.33%,1
,GUSTAFSON R,2.81,35.48%,22.58%,32.26%,6.45%,3.23%,1
,KERR D,2.85,24.24%,45.45%,21.21%,9.09%,0.0%,1
,KIFFE T,1.93,10.0%,16.67%,50.0%,3.33%,20.0%,1
,LARSON D,2.84,27.91%,39.53%,20.93%,11.63%,0.0%,1
,MANUEL D,2.5,20.45%,36.36%,20.45%,18.18%,4.55%,1
,SCHLUMPRECHT T,2.6,27.305%,30.98%,22.745%,13.38%,5.585%,2
,SHATALOV O,2.48,27.42%,29.03%,17.74%,16.13%,9.68%,1
,SIFUENTES J,2.51,27.01%,27.385%,25.83%,8.83%,10.94%,2
,SIVAKUMAR N,2.04,20.1166666667%,13.2466666667%,30.32%,22.85%,13.4666666667%,3
,SMITH R,2.36,19.27%,29.96%,27.8266666667%,14.0266666667%,8.92333333333%,3
,STECHER M,2.2,9.525%,37.66%,22.94%,22.94%,6.925%,2
,WITHERSPOON S,2.92,36.99%,38.515%,13.56%,0.845%,10.085%,2
,YOUNG M,2.74,23.68%,47.37%,15.79%,5.26%,7.89%,1
,,,,,,,
MATH-172,,,,,,,
,ANSHELEVICH M,2.32,28.0%,20.0%,20.0%,20.0%,12.0%,1
,AUSTIN A,2.45,19.35%,25.81%,38.71%,12.9%,3.23%,1
,BOROSH I,2.67,23.31%,33.43%,30.5975%,11.5275%,1.1375%,4
,KIFFE T,2.59,33.33%,18.52%,29.63%,11.11%,7.41%,1
,LAZAROV R,3.27,54.55%,27.27%,13.64%,0.0%,4.55%,1
,LIMA-FILHO P,3.0,52.94%,11.76%,17.65%,17.65%,0.0%,1
,MANUEL D,2.53,19.35%,30.65%,35.48%,12.9%,1.61%,1
,MCCARTHY D,2.0,15.63%,15.63%,40.63%,9.38%,18.75%,1
,PAPANIKOLAS M,2.46,17.95%,30.77%,33.33%,15.38%,2.56%,1
,POLTORATSKI A,2.38,14.55%,30.02%,40.15%,9.61%,5.66%,2
,SCHLUMPRECHT T,2.6,28.26%,28.26%,19.57%,21.74%,2.17%,1
,SHATALOV O,2.67,23.33%,36.67%,26.67%,10.0%,3.33%,1
,SIVAKUMAR N,2.34,20.1175%,25.64%,31.0575%,14.45%,8.735%,4
,SMITH R,2.17,20.0%,20.0%,26.67%,23.33%,10.0%,1
,SOTTILE F,3.47,47.06%,52.94%,0.0%,0.0%,0.0%,1
,STECHER M,2.28,15.6133333333%,31.5866666667%,28.2533333333%,11.4733333333%,13.0733333333%,3
,YOUNG M,2.63,28.13%,21.88%,40.63%,3.13%,6.25%,1
,,,,,,,
MATH-220,,,,,,,
,ANSHELEVICH M,2.89,34.705%,36.765%,16.765%,5.88%,5.88%,2
,GUSTAFSON R,2.71,35.29%,29.41%,17.65%,5.88%,11.76%,1
,KUCHMENT P,3.21,42.11%,36.84%,21.05%,0.0%,0.0%,1
,PAPANIKOLAS M,2.89,22.22%,44.44%,33.33%,0.0%,0.0%,1
,ROWELL E,2.62,26.0775%,31.415%,28.8%,5.7175%,7.995%,4
,SHATALOV O,2.97,38.7933333333%,29.3866666667%,23.815%,5.35%,2.65833333333%,6
,SOTTILE F,3.03,37.84%,32.43%,24.32%,5.41%,0.0%,1
,SUNIK Z,3.52,63.07%,26.325%,10.61%,0.0%,0.0%,2
,WHITE J,3.05,42.11%,36.84%,10.53%,5.26%,5.26%,1
,WITHERSPOON S,3.05,31.82%,40.91%,27.27%,0.0%,0.0%,1
,ZINN J,2.88,40.1428571429%,27.5757142857%,18.2342857143%,7.44142857143%,6.60714285714%,7
,,,,,,,
MATH-221,,,,,,,
,BASKIN D,2.8,37.14%,25.71%,25.71%,2.86%,8.57%,1
,BOAS H,2.65,24.32%,37.84%,18.92%,16.22%,2.7%,1
,DYKEMA K,2.59,30.31%,26.31%,21.54%,16.0%,5.845%,2
,KIFFE T,2.37,19.99%,22.2633333333%,36.8233333333%,16.36%,4.56666666667%,3
,LAZAROV R,2.19,24.32%,18.92%,29.73%,5.41%,21.62%,1
,PAPANIKOLAS M,2.95,29.73%,45.95%,16.22%,5.41%,2.7%,1
,PEARLSTEIN G,2.6,25.845%,30.6%,27.9%,8.85%,6.815%,2
,SHATALOV O,2.77,20.0%,51.43%,17.14%,8.57%,2.86%,1
,SIVAKUMAR N,2.01,14.7%,16.62%,38.875%,14.835%,14.97%,2
,SOTTILE F,2.94,31.25%,37.5%,25.0%,6.25%,0.0%,1
,STECHER M,2.45,18.32%,26.295%,41.525%,9.7%,4.165%,2
,,,,,,,
MATH-225,,,,,,,
,STECHER M,3.0,52.63%,15.79%,15.79%,10.53%,5.26%,1
,,,,,,,
MATH-251,,,,,,,
,BAUDIER F,2.91,28.72%,43.59%,19.49%,6.15%,2.05%,1
,BELMONTE A,3.43,64.29%,21.43%,7.14%,7.14%,0.0%,1
,BIARD S,3.18,46.745%,32.235%,14.5675%,4.785%,1.6675%,4
,CACIC B,2.87,29.495%,40.295%,20.835%,6.24%,3.135%,2
,FORSGARD J,2.88,29.0%,39.235%,24.295%,5.535%,1.935%,2
,GUSTAFSON R,2.52,17.83%,38.81%,22.73%,18.88%,1.75%,1
,HENSLEY D,2.97,44.76%,23.78%,19.58%,6.29%,5.59%,1
,KAHLIG J,2.38,14.9833333333%,32.0266666667%,33.1233333333%,15.3933333333%,4.47%,3
,KLEIN G,2.22,13.25%,27.6828571429%,35.6642857143%,14.3728571429%,9.03%,7
,KORDEK K,2.63,19.77%,37.21%,31.4%,9.3%,2.33%,1
,LAHODNY G,2.86,31.63%,38.78%,17.35%,8.16%,4.08%,1
,LAZAROV R,3.0,54.17%,8.33%,25.0%,8.33%,4.17%,1
,LEWIS J,2.19,21.9375%,25.66%,17.6375%,19.0575%,15.7075%,4
,LIANG C,2.84,27.265%,41.185%,23.975%,3.42%,4.155%,2
,LIU R,3.02,30.825%,45.815%,17.93%,5.435%,0.0%,2
,MOTAKIS P,2.83,29.83%,37.02%,20.99%,11.05%,1.1%,1
,PEARLSTEIN G,2.48,17.89%,33.33%,31.71%,13.01%,4.07%,1
,REIHANI K,2.33,10.12%,33.85%,38.91%,13.62%,3.5%,1
,SHATALOV O,2.52,24.71%,30.59%,22.35%,16.47%,5.88%,1
,SHEEN D,2.87,33.74%,35.995%,18.635%,6.135%,5.495%,2
,STEINHAUER D,3.1,36.22%,39.29%,23.47%,1.02%,0.0%,1
,TAKHIROV A,2.05,12.28%,29.82%,21.05%,24.56%,12.28%,1
,VALETTAS P,3.04,39.67%,37.75%,13.565%,6.8%,2.225%,2
,VARGO J,2.47,19.75%,30.86%,32.1%,11.11%,6.17%,1
,VOGEL T,2.38,19.975%,29.825%,27.125%,14.6%,8.475%,2
,VOROBETS M,2.9,37.7%,29.51%,22.62%,5.57%,4.59%,1
,WELPER G,2.53,17.4366666667%,38.2%,29.3933333333%,9.83333333333%,5.13666666667%,3
,WILLIAMS J,2.39,15.145%,33.365%,30.955%,16.54%,3.99%,2
,XIE Z,2.75,24.18%,38.46%,28.57%,5.49%,3.3%,1
,YASSKIN P,2.34,22.1166666667%,25.39%,28.9066666667%,11.7866666667%,11.8%,3
,,,,,,,
MATH-253,,,,,,,
,YASSKIN P,3.54,62.86%,28.57%,8.57%,0.0%,0.0%,1
,,,,,,,
MATH-285,,,,,,,
,EPSTEIN J,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,HESTER Y,3.39,57.475%,35.5825%,0.0%,2.7775%,4.1675%,4
,KAHLIG J,3.88,91.25%,5.625%,3.125%,0.0%,0.0%,2
,KESSLER J,3.95,95.0%,5.0%,0.0%,0.0%,0.0%,2
,KILMER K,3.94,94.44%,5.56%,0.0%,0.0%,0.0%,1
,STECHER M,3.68,78.295%,15.845%,1.315%,4.545%,0.0%,4
,WALTON J,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,4
,,,,,,,
MATH-289,,,,,,,
,MOGILEVSKY M,3.71,79.41%,17.645%,0.0%,0.0%,2.94%,2
,,,,,,,
MATH-302,,,,,,,
,DEWOLFF T,2.69,26.0%,35.0%,26.0%,8.0%,5.0%,2
,GUSTAFSON R,2.8,26.67%,36.67%,26.67%,10.0%,0.0%,1
,IKENMEYER C,2.24,44.445%,11.115%,1.39%,9.725%,33.335%,2
,KIRAL E,2.73,40.0%,20.0%,20.0%,13.33%,6.67%,1
,MATUSEVICH L,2.9,29.52%,36.665%,29.605%,2.78%,1.43%,2
,ONEILL C,2.58,26.32%,31.58%,21.05%,15.79%,5.26%,1
,YAN H,3.15,43.2233333333%,35.0183333333%,16.4%,3.715%,1.64666666667%,6
,,,,,,,
MATH-304,,,,,,,
,ANSHELEVICH M,2.85,30.3%,33.33%,27.27%,9.09%,0.0%,1
,BASKIN D,3.19,42.86%,35.71%,19.05%,2.38%,0.0%,1
,BATTLE G,3.08,33.71%,43.805%,20.12%,1.77%,0.595%,2
,BAUDIER F,3.24,43.24%,43.24%,10.81%,0.0%,2.7%,1
,BENLI M,2.82,41.18%,17.65%,26.47%,11.76%,2.94%,1
,CACIC B,3.05,32.3%,43.88%,21.275%,1.55%,1.0%,2
,GRIGORCHUK R,3.25,54.125%,27.075%,10.545%,5.895%,2.355%,2
,GUSTAFSON R,2.65,24.46%,34.955%,26.53%,9.055%,5.0%,2
,KIRAL E,2.54,16.21%,40.975%,29.86%,6.445%,6.51%,2
,LIANG C,2.8,22.0633333333%,45.06%,24.9166666667%,7.09%,0.876666666667%,3
,LINHART J,2.48,21.25%,27.5%,33.75%,12.5%,5.0%,1
,LOZOVSKIY A,2.52,8.7%,47.83%,30.43%,13.04%,0.0%,1
,MASRI M,2.84,35.14%,29.73%,21.62%,10.81%,2.7%,1
,NEKRASHEVYCH V,3.28,47.7225%,35.41%,14.025%,2.55%,0.295%,4
,PITTS J,2.81,29.9425%,35.42%,21.87%,11.0%,1.7675%,4
,POLTORATSKI A,2.53,24.235%,28.405%,29.795%,11.785%,5.78%,2
,ROJAS J,2.77,28.57%,31.43%,28.57%,11.43%,0.0%,1
,ROQUE S,2.84,26.04%,50.0%,13.54%,3.125%,7.29%,2
,SKOUFRANIS P,2.29,23.81%,23.81%,22.22%,17.46%,12.7%,1
,STILLER P,2.8,27.165%,35.085%,29.415%,7.085%,1.25%,2
,TAKHIROV A,2.13,10.0%,23.33%,50.0%,3.33%,13.33%,1
,TRETKOFF P,3.27,43.622%,40.812%,14.868%,0.698%,0.0%,5
,TUCKER-DROB R,2.88,35.0%,37.5%,12.5%,10.0%,5.0%,1
,VALETTAS P,2.69,25.71%,34.29%,31.43%,0.0%,8.57%,1
,VOROBETS Y,2.83,24.14%,43.68%,26.44%,2.3%,3.45%,1
,WARD J,2.79,32.14%,28.57%,28.57%,7.14%,3.57%,1
,WILKERSON C,2.95,32.43%,40.54%,21.62%,0.0%,5.41%,1
,XIE Z,3.05,39.47%,39.47%,13.16%,2.63%,5.26%,1
,YOUNG M,2.83,30.26%,36.84%,21.05%,9.21%,2.63%,1
,ZHOU J,2.58,21.21%,45.45%,15.15%,6.06%,12.12%,1
,,,,,,,
MATH-308,,,,,,,
,AVSEC S,2.84,27.96%,40.86%,21.51%,6.45%,3.23%,1
,BASKIN D,2.67,28.89%,28.89%,28.89%,6.67%,6.67%,1
,BATTLE G,3.0,37.5%,33.33%,20.83%,8.33%,0.0%,1
,BAUDIER F,2.98,39.2225%,32.96%,17.9225%,6.2825%,3.6075%,4
,BELMONTE A,3.41,64.08%,22.33%,7.77%,1.94%,3.88%,1
,BERKOLAIKO G,3.02,36.41%,31.49%,20.7233333333%,7.94666666667%,3.43333333333%,3
,BONITO A,2.97,37.275%,33.8975%,20.665%,4.7125%,3.4475%,4
,BUERG M,1.82,7.035%,24.565%,32.36%,15.8%,20.24%,2
,COMECH A,3.0,44.3933333333%,25.9066666667%,19.0133333333%,7.05666666667%,3.63%,3
,DEMLOW A,2.75,25.0%,32.69%,34.62%,7.69%,0.0%,1
,DOS R,3.08,39.81%,32.9333333333%,20.7833333333%,5.18333333333%,1.29666666667%,3
,GUO Y,2.56,22.45%,39.8%,16.33%,13.27%,8.16%,1
,HARRIS I,2.73,16.67%,53.33%,16.67%,13.33%,0.0%,1
,KIFFE T,2.63,20.0%,40.0%,27.0%,8.0%,5.0%,1
,KIM J,3.57,71.43%,23.81%,0.0%,0.0%,4.76%,1
,KLEIN G,2.47,14.5%,35.11%,37.4%,9.92%,3.05%,1
,KUCHMENT P,3.54,66.67%,20.83%,12.5%,0.0%,0.0%,1
,LAHODNY G,2.94,32.08%,41.51%,13.21%,11.32%,1.89%,1
,LARIOS A,2.33,19.44%,25.0%,33.33%,13.89%,8.33%,1
,LEE S,2.95,28.905%,43.59%,20.855%,6.645%,0.0%,2
,LIANG C,2.93,12.96%,66.67%,20.37%,0.0%,0.0%,1
,LOZOVSKIY A,2.46,14.08%,45.07%,26.76%,5.63%,8.45%,1
,NARCOWICH F,3.05,35.415%,39.075%,23.01%,0.0%,2.5%,2
,NAZAROV M,2.8,35.75%,27.095%,23.805%,8.39%,4.955%,2
,NEKRASHEVYCH V,3.27,48.21%,33.93%,14.29%,3.57%,0.0%,1
,NISSE M,3.52,66.67%,18.52%,14.81%,0.0%,0.0%,1
,ONICA C,2.65,23.08%,39.42%,22.12%,11.06%,4.33%,1
,PANETTA R,2.78,38.89%,27.78%,16.67%,5.56%,11.11%,1
,PASCIAK J,3.14,46.71%,23.16%,27.63%,2.5%,0.0%,2
,PETROVA G,3.13,39.14%,40.81%,16.1225%,1.6825%,2.25%,4
,PILANT M,3.24,48.59%,33.7533333333%,13.7333333333%,1.41666666667%,2.50666666667%,3
,POLLOCK S,2.75,29.435%,34.8625%,21.6825%,9.1625%,4.8575%,4
,POPOV B,2.68,34.505%,20.465%,27.79%,13.49%,3.75%,2
,REIHANI K,2.59,25.27%,30.89%,27.165%,11.115%,5.56%,2
,ROQUE S,2.46,19.93%,31.07%,31.645%,9.57%,7.785%,2
,RUNDELL W,2.53,22.86%,30.0%,28.57%,14.29%,4.29%,1
,SAROGLOU C,3.03,37.93%,27.59%,34.48%,0.0%,0.0%,1
,SHATALOV O,2.75,26.025%,41.78%,17.34%,9.85%,5.015%,2
,SHI K,2.6,19.3266666667%,32.9333333333%,38.95%,6.09666666667%,2.69333333333%,3
,SIFUENTES J,2.75,25.2816666667%,40.2333333333%,20.905%,9.34166666667%,4.24333333333%,6
,SKOUFRANIS P,2.49,25.71%,31.065%,20.045%,13.6%,9.575%,2
,STEINHAUER D,2.82,29.85%,33.025%,29.33%,4.7675%,3.0325%,4
,SUKHTAYEV A,2.8,29.8933333333%,38.6666666667%,18.5766666667%,7.35333333333%,5.51%,3
,TAKHIROV A,2.07,14.9366666667%,25.7766666667%,26.2066666667%,17.6533333333%,15.43%,3
,TALIAFERRO S,2.72,29.735%,31.325%,24.965%,9.6525%,4.33%,4
,TURCKSIN B,2.52,20.69%,34.48%,31.03%,3.45%,10.34%,1
,VOROBETS M,3.16,44.255%,31.47%,18.6%,5.04%,0.635%,2
,WANG X,3.06,40.38%,32.69%,21.15%,3.85%,1.92%,1
,WARD J,2.59,16.84%,40.31%,32.14%,6.63%,4.08%,2
,WELPER G,2.61,20.8266666667%,35.09%,29.51%,12.9766666667%,1.58666666667%,3
,ZELENKO I,3.08,42.9566666667%,29.6233333333%,20.8566666667%,5.75%,0.813333333333%,3
,ZEMLYANOVA A,2.89,26.015%,47.95%,16.625%,7.525%,1.885%,2
,ZEYTUNCU Y,3.23,39.22%,49.02%,9.8%,0.0%,1.96%,1
,ZHANG Z,3.19,48.67%,30.25%,16.775%,0.0%,4.305%,2
,ZHOU J,2.77,31.34%,32.29%,23.73%,7.04%,5.59666666667%,3
,,,,,,,
MATH-309,,,,,,,
,BOROSH I,2.42,18.99%,30.38%,27.85%,18.99%,3.8%,1
,VOGEL T,2.46,20.9283333333%,30.775%,29.7766666667%,10.3733333333%,8.14333333333%,6
,ZELENKO I,2.36,12.12%,30.3%,39.39%,18.18%,0.0%,1
,,,,,,,
MATH-311,,,,,,,
,AVSEC S,2.98,34.01%,39.855%,19.65%,2.78%,3.705%,2
,BOROSH I,2.59,22.06%,30.72%,32.435%,13.4%,1.39%,2
,CACIC B,3.09,45.45%,30.3%,15.15%,6.06%,3.03%,1
,FULLING S,2.49,10.64%,42.55%,34.04%,10.64%,2.13%,1
,GUSTAFSON R,2.41,18.685%,26.96%,35.225%,14.725%,4.395%,2
,LANDSBERG J,1.73,15.0%,22.5%,15.0%,15.0%,32.5%,1
,MASRI M,2.55,20.73%,30.49%,37.8%,4.88%,6.1%,1
,NARCOWICH F,2.58,15.65%,38.765%,33.055%,12.535%,0.0%,2
,NAZAROV M,3.0,30.0%,40.0%,30.0%,0.0%,0.0%,1
,NEKRASHEVYCH V,3.42,52.73%,36.36%,10.91%,0.0%,0.0%,1
,PITTS J,2.74,22.29%,39.99%,29.515%,5.57%,2.63%,2
,PLAVNIK J,2.54,25.71%,22.86%,34.29%,14.29%,2.86%,1
,SHI K,2.82,27.27%,36.36%,29.55%,4.55%,2.27%,1
,SMITH R,2.88,35.29%,23.53%,35.29%,5.88%,0.0%,1
,VALETTAS P,3.27,37.84%,51.35%,10.81%,0.0%,0.0%,1
,VOROBETS Y,2.84,22.0%,48.0%,24.0%,4.0%,2.0%,1
,WALTON J,2.88,30.95%,38.1%,21.43%,7.14%,2.38%,1
,WARD J,2.47,13.33%,40.0%,30.0%,13.33%,3.33%,1
,YASSKIN P,2.57,26.135%,28.315%,28.595%,10.61%,6.345%,2
,ZHOU J,2.57,16.33%,34.69%,40.82%,6.12%,2.04%,1
,,,,,,,
MATH-323,,,,,,,
,FOUCART S,3.33,33.33%,66.67%,0.0%,0.0%,0.0%,1
,GELLER S,3.33,66.67%,20.0%,0.0%,6.67%,6.67%,1
,GRIGORCHUK R,3.45,51.72%,41.38%,6.9%,0.0%,0.0%,1
,LANDSBERG J,2.99,31.43%,25.71%,40.0%,0.0%,2.86%,1
,LARSON D,2.52,24.24%,30.3%,24.24%,15.15%,6.06%,1
,LEE S,3.25,45.0%,35.0%,20.0%,0.0%,0.0%,1
,MASRI M,3.43,57.9833333333%,29.6866666667%,9.39333333333%,1.96%,0.98%,3
,PAPANIKOLAS M,2.76,26.8033333333%,31.2833333333%,34.6%,5.45666666667%,1.85333333333%,3
,PITTS J,2.89,29.73%,32.43%,35.14%,2.7%,0.0%,1
,ROJAS J,3.4,60.0%,20.0%,20.0%,0.0%,0.0%,1
,STECHER M,2.27,8.39%,40.56%,30.63%,9.09%,11.325%,2
,VOROBETS Y,2.51,5.71%,51.43%,34.29%,5.71%,2.86%,1
,WARD J,2.35,13.64%,31.82%,43.18%,6.82%,4.55%,1
,,,,,,,
MATH-325,,,,,,,
,ARORA R,2.29,24.56%,26.32%,22.81%,7.02%,19.3%,1
,RAMSEY H,2.58,30.74%,22.81%,28.05%,11.12%,7.275%,2
,,,,,,,
MATH-365,,,,,,,
,CARTER T,3.15,41.28%,34.82%,22.62%,1.045%,0.2325%,4
,KLEIN G,2.76,19.315%,43.605%,31.97%,3.485%,1.625%,2
,SCARBOROUGH S,2.58,17.52%,39.6%,27.75%,13.175%,1.96%,2
