Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
,BAUMGARDNER D,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,MAGGERT K,3.91,97.62%,0.0%,0.0%,0.0%,2.38%,2
,,,,,,,
BIOL-300,,,,,,,
,BAUMGARDNER D,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,4
,,,,,,,
BIOL-318,,,,,,,
,GREENBAUM I,2.11,6.61666666667%,34.26%,31.4833333333%,19.71%,7.93666666667%,3
,,,,,,,
BIOL-319,,,,,,,
,COHN W,2.6,17.2672727273%,34.29%,43.6927272727%,2.17181818182%,2.57909090909%,11
,,,,,,,
BIOL-320,,,,,,,
,TAYLOR L,2.44,13.0672727273%,32.6163636364%,42.7945454545%,9.15727272727%,2.36454545455%,11
,,,,,,,
BIOL-335,,,,,,,
,WICKSTEN M,2.87,31.1575%,36.395%,24.585%,5.27%,2.5925%,4
,,,,,,,
BIOL-344,,,,,,,
,RILEY B,2.91,38.53%,29.7675%,18.0725%,10.455%,3.175%,4
,,,,,,,
BIOL-350,,,,,,,
,ARAMAYO R,3.5,62.5%,25.0%,12.5%,0.0%,0.0%,1
,,,,,,,
BIOL-351,,,,,,,
,SACHS M,2.69,20.5225%,42.1775%,25.99%,8.3725%,2.935%,4
,SIEGELE D,2.91,26.3685714286%,42.7014285714%,27.3885714286%,3.31142857143%,0.23%,7
,SMITH J,2.73,21.45%,42.16%,27.7766666667%,7.15666666667%,1.46%,3
,SORG J,2.64,22.335%,37.165%,24.665%,14.0%,1.835%,2
,,,,,,,
BIOL-357,,,,,,,
,BAUMGARDNER D,3.45,54.45%,37.3485714286%,7.27142857143%,0.635714285714%,0.291428571429%,7
,,,,,,,
BIOL-358,,,,,,,
,BAUMGARDNER D,3.85,85.53%,14.0242857143%,0.447142857143%,0.0%,0.0%,7
,,,,,,,
BIOL-388,,,,,,,
,SCOTT T,2.94,23.7125%,51.155%,21.895%,2.085%,1.155%,4
,,,,,,,
BIOL-395,,,,,,,
,TAG A,3.43,81.82%,0.0%,9.09%,0.0%,9.09%,1
,,,,,,,
BIOL-401,,,,,,,
,CARNEY G,3.42,58.92%,29.3771428571%,8.73285714286%,0.564285714286%,2.40428571429%,7
,,,,,,,
BIOL-405,,,,,,,
,MACKENZIE D,3.41,56.9966666667%,31.5933333333%,8.07666666667%,1.66666666667%,1.66666666667%,3
,,,,,,,
BIOL-406,,,,,,,
,MANSON M,3.27,40.2766666667%,48.1033333333%,10.2266666667%,1.39%,0.0%,3
,SORG J,3.13,33.245%,49.51%,15.775%,0.0%,1.47%,4
,,,,,,,
BIOL-413,,,,,,,
,AUFDERHEIDE K,2.87,24.325%,46.545%,22.3225%,5.805%,1.005%,4
,RYAN K,2.55,22.6733333333%,29.3733333333%,30.8033333333%,14.4466666667%,2.7%,3
,,,,,,,
BIOL-414,,,,,,,
,LEKVEN A,2.85,33.27%,34.8633333333%,19.3833333333%,8.37%,4.11333333333%,3
,,,,,,,
BIOL-423,,,,,,,
,GRIFFING L,3.52,66.4566666667%,22.54%,8.48333333333%,0.853333333333%,1.66666666667%,3
,,,,,,,
BIOL-430,,,,,,,
,GRIFFING L,3.57,68.2825%,25.8025%,4.5275%,0.0%,1.39%,4
,,,,,,,
BIOL-434,,,,,,,
,HARLOW M,3.42,57.4575%,29.7175%,11.485%,0.0%,1.34%,4
,SMOTHERMAN M,3.44,60.6333333333%,24.92%,13.3333333333%,0.0%,1.11%,3
,,,,,,,
BIOL-435,,,,,,,
,SMOTHERMAN M,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,4
,,,,,,,
BIOL-437,,,,,,,
,LIN X,3.21,39.0525%,43.985%,15.645%,1.315%,0.0%,4
,,,,,,,
BIOL-438,,,,,,,
,MANSON M,3.11,31.8%,47.9325%,19.46%,0.8075%,0.0%,4
,,,,,,,
BIOL-440,,,,,,,
,WICKSTEN M,3.13,34.4433333333%,47.7766666667%,14.4433333333%,3.33%,0.0%,3
,,,,,,,
BIOL-445,,,,,,,
,BELL-PEDERSEN D,3.06,40.6433333333%,35.3533333333%,16.7166666667%,4.21%,3.07666666667%,3
,,,,,,,
BIOL-451,,,,,,,
,THOMAS T,3.66,70.31%,25.83%,3.86%,0.0%,0.0%,7
,,,,,,,
BIOL-452,,,,,,,
,BELL-PEDERSEN D,3.54,61.905%,33.93%,0.0%,4.165%,0.0%,2
,SACHS M,3.33,44.44%,44.44%,11.11%,0.0%,0.0%,1
,,,,,,,
BIOL-454,,,,,,,
,MOYES R,2.77,21.8225%,48.21%,17.9125%,9.0325%,3.0225%,4
,,,,,,,
BIOL-455,,,,,,,
,KASTER B,3.08,38.46%,38.46%,15.38%,7.69%,0.0%,1
,MOYES R,3.33,50.0%,41.67%,0.0%,8.33%,0.0%,1
,,,,,,,
BIOL-456,,,,,,,
,MOYES R,3.07,35.0566666667%,42.7666666667%,16.6766666667%,5.49666666667%,0.0%,3
,,,,,,,
BIOL-461,,,,,,,
,SMITH J,3.92,92.0633333333%,7.93666666667%,0.0%,0.0%,0.0%,3
,,,,,,,
BIOL-466,,,,,,,
,GREENBAUM I,2.26,8.665%,36.8725%,33.0575%,14.16%,7.245%,4
,,,,,,,
BIOL-467,,,,,,,
,ROSENTHAL G,3.46,61.6966666667%,27.2166666667%,8.02666666667%,1.55333333333%,1.5%,3
,,,,,,,
BIOL-481,,,,,,,
,ADAMS V,3.9,90.0%,10.0%,0.0%,0.0%,0.0%,2
,GARCIA L,3.98,98.4128571429%,1.58714285714%,0.0%,0.0%,0.0%,7
,MCKNIGHT T,3.92,96.15%,0.0%,3.85%,0.0%,0.0%,1
,SCOTT T,3.87,87.1%,12.9%,0.0%,0.0%,0.0%,1
,,,,,,,
BIOL-485,,,,,,,
,TAG A,3.5,66.665%,22.22%,5.555%,5.555%,0.0%,2
,,,,,,,
BIOL-487,,,,,,,
,CRISCIONE C,2.75,30.95%,34.52%,18.255%,10.715%,5.555%,2
,,,,,,,
BIOL-489,,,,,,,
,BEASTER-JONES L,3.17,29.165%,58.335%,12.5%,0.0%,0.0%,2
,GOMER R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,SMITH J,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,WINEMILLER L,3.91,90.91%,9.09%,0.0%,0.0%,0.0%,2
,,,,,,,
BIOL-491,,,,,,,
,BAUMGARDNER D,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,7
,GRIFFING L,3.89,88.572%,11.428%,0.0%,0.0%,0.0%,5
,MANSON M,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,MCKNIGHT T,3.97,96.9842857143%,3.01571428571%,0.0%,0.0%,0.0%,7
,WICKSTEN M,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
BIOL-493,,,,,,,
,TAG A,3.74,82.955%,12.5%,0.0%,4.545%,0.0%,2
,,,,,,,
BIOL-495,,,,,,,
,MCMAHAN U,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,SACHS M,3.8,90.7825%,3.6625%,2.7775%,0.0%,2.7775%,4
,,,,,,,
BIOL-601,,,,,,,
,HARDIN P,3.13,37.5%,37.5%,25.0%,0.0%,0.0%,1
,,,,,,,
BIOL-602,,,,,,,
,HOLZENBURG A,3.79,79.025%,20.975%,0.0%,0.0%,0.0%,6
,,,,,,,
BIOL-603,,,,,,,
,HOLZENBURG A,3.83,83.33%,16.67%,0.0%,0.0%,0.0%,2
,,,,,,,
BIOL-604,,,,,,,
,HOLZENBURG A,3.83,82.7366666667%,17.2633333333%,0.0%,0.0%,0.0%,3
,,,,,,,
BIOL-606,,,,,,,
,SORG J,3.22,35.6866666667%,50.8433333333%,13.4666666667%,0.0%,0.0%,3
,,,,,,,
BIOL-608,,,,,,,
,HOLZENBURG A,3.86,86.11%,13.89%,0.0%,0.0%,0.0%,2
,NAN B,3.88,87.5%,12.5%,0.0%,0.0%,0.0%,1
,,,,,,,
BIOL-609,,,,,,,
,LEKVEN A,3.86,90.48%,4.76%,4.76%,0.0%,0.0%,1
,MENET J,3.45,48.335%,48.335%,3.335%,0.0%,0.0%,2
,,,,,,,
BIOL-610,,,,,,,
,JONES A,3.57,78.57%,14.285%,0.0%,0.0%,7.145%,2
,,,,,,,
BIOL-611,,,,,,,
,RILEY B,3.5,58.335%,33.335%,8.335%,0.0%,0.0%,2
,,,,,,,
BIOL-613,,,,,,,
,RYAN K,3.32,39.595%,56.4%,2.0825%,0.0%,1.9225%,4
,,,,,,,
BIOL-615,,,,,,,
,LEKVEN A,3.48,59.0466666667%,29.5233333333%,11.43%,0.0%,0.0%,3
,,,,,,,
BIOL-622,,,,,,,
,SIEGELE D,3.83,86.2866666667%,10.6833333333%,3.03%,0.0%,0.0%,3
,,,,,,,
BIOL-625,,,,,,,
,HARLOW M,3.83,83.3333333333%,16.6666666667%,0.0%,0.0%,0.0%,3
,,,,,,,
BIOL-635,,,,,,,
